,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE MONTH,SALE YEAR
0,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6,C2,10009,5,0,5,1633.0,6440.0,1900,2,C2,6625000.0,7,2017
3,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,21,C4,10009,10,0,10,2272.0,6794.0,1913,2,C4,3936272.0,9,2016
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,55,C2,10009,6,0,6,2369.0,4615.0,1900,2,C2,8000000.0,11,2016
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,406,32,C4,10009,8,0,8,1750.0,4226.0,1920,2,C4,3192840.0,9,2016
172,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,391,19,S3,10009,3,1,4,1520.0,3360.0,1910,2,S3,3300000.0,11,2016
173,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,393,4,S4,10009,4,1,5,2201.0,5608.0,1900,2,S4,7215000.0,1,2017
174,1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,394,5,S5,10009,5,1,6,1779.0,3713.0,1910,2,S5,4750000.0,4,2017
195,1,ALPHABET CITY,22 STORE BUILDINGS                         ,4,390,34,K4,10009,0,1,1,1218.0,3586.0,1899,4,K4,3700000.0,9,2016
206,1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,771,52,A9,10011,1,0,1,1975.0,3855.0,1901,1,A9,7425000.0,12,2016
212,1,CHELSEA,02 TWO FAMILY DWELLINGS                    ,1,769,49,S2,10011,2,1,3,2150.0,4978.0,1920,1,S2,7750000.0,4,2017
